コード,銘柄名
2039,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ベア　ＥＴＮ
2040,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ダブル・ブル・ドルヘッジ　ＥＴＮ
2041,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ベア・ドルヘッジ　ＥＴＮ
2042,ＮＥＸＴ　ＮＯＴＥＳ　東証グロース市場２５０　ＥＴＮ
2043,ＮＥＸＴ　ＮＯＴＥＳ　ＳＴＯＸＸ　アセアン好配当５０（円、ネットリターン）ＥＴＮ
2044,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ５００　配当貴族（ネットリターン）　ＥＴＮ
2045,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ　シンガポール　リート（ネットリターン）　ＥＴＮ
2046,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ダブル・ブル　ＥＴＮ
2047,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ベア　ＥＴＮ
2048,ＮＥＸＴ　ＮＯＴＥＳ　野村日本株高配当７０（ドルヘッジ、ネットリターン）ＥＴＮ
2050,ＮＥＸＴ　ＮＯＴＥＳ　ニッチトップ　中小型日本株（ネットリターン）ＥＴＮ
2053,中部飼料
2055,日和産業
2060,フィード・ワン
2065,ＮＥＸＴ　ＮＯＴＥＳ　日本株配当貴族（ドルヘッジ、ネットリターン）ＥＴＮ
2066,ＮＥＸＴ　ＮＯＴＥＳ　東証ＲＥＩＴ（ドルヘッジ、ネットリターン）ＥＴＮ
2067,ＮＥＸＴ　ＮＯＴＥＳ　野村ＡＩビジネス７０（ネットリターン）ＥＴＮ
2068,ＮＥＸＴ　ＮＯＴＥＳ　高ベータ３０（ネットリターン）ＥＴＮ
2069,ＮＥＸＴ　ＮＯＴＥＳ　低ベータ５０（ネットリターン）ＥＴＮ
2070,スマートＥＳＧ３０女性活躍（ネットリターン）ＥＴＮ
2071,スマートＥＳＧ３０総合（ネットリターン）ＥＴＮ
2072,トップシェアインデックス（ネットリターン）ＥＴＮ
2073,スマートＥＳＧ３０低カーボンリスク（ネットリターン）ＥＴＮ
2080,ＰＢＲ１倍割れ解消推進ＥＴＦ
2081,政策保有解消推進ＥＴＦ
2082,投資家経営者一心同体ＥＴＦ
2083,ＮＥＸＴ　ＦＵＮＤＳ　日本成長株アクティブ上場投信
2084,ＮＥＸＴ　ＦＵＮＤＳ　日本高配当株アクティブ上場投信
2085,ＭＡＸＩＳ高配当日本株アクティブ上場投信
2086,ＮＺＡＭ　上場投信　Ｓ＆Ｐ５００（為替ヘッジあり）
2087,ＮＺＡＭ　上場投信　ＮＡＳＤＡＱ１００（為替ヘッジあり）
2088,ＮＺＡＭ　上場投信　ＮＹダウ３０（為替ヘッジあり）
2089,ＮＺＡＭ　上場投信　ＤＡＸ（為替ヘッジあり）
2090,ＮＺＡＭ　上場投信　米国国債７－１０年（為替ヘッジあり）
2091,ＮＺＡＭ　上場投信　ドイツ国債７－１０年（為替ヘッジあり）
2092,ＮＺＡＭ　上場投信　フランス国債７－１０年（為替ヘッジあり）
2093,上場Ｔｒａｃｅｒｓ　米国債０－２年ラダー（為替ヘッジなし）
2094,東証ＲＥＩＴインバースＥＴＦ
2095,グローバルＸ　Ｓ＆Ｐ５００配当貴族　ＥＴＦ（為替ヘッジあり）
2096,グローバルＸ　オフィス・Ｊ－ＲＥＩＴ　ＥＴＦ
2097,グローバルＸ　レジデンシャル・Ｊ－ＲＥＩＴ　ＥＴＦ
2098,グローバルＸ　ホテル＆リテール・Ｊ－ＲＥＩＴ　ＥＴＦ
2108,日本甜菜製糖
2109,ＤＭ三井製糖
2112,塩水港精糖
2114,フジ日本
2117,ウェルネオシュガー
2120,ＬＩＦＵＬＬ
2121,ＭＩＸＩ
2122,インタースペース
2124,ジェイエイシーリクルートメント
2127,日本Ｍ＆Ａセンターホールディングス
2130,メンバーズ
2134,北浜キャピタルパートナーズ
2136,ヒップ
2138,クルーズ
2139,中広
2146,ＵＴグループ
2148,アイティメディア
2150,ケアネット
2152,幼児活動研究会
2153,Ｅ・Ｊホールディングス
2154,オープンアップグループ
2156,セーラー広告
2157,コシダカホールディングス
2158,ＦＲＯＮＴＥＯ
2160,ジーエヌアイグループ
2162,ｎｍｓ　ホールディングス
2163,アルトナー
2164,地域新聞社
2168,パソナグループ
2169,ＣＤＳ
2170,リンクアンドモチベーション
2173,博展
2175,エス・エム・エス
2179,成学社
2180,サニーサイドアップグループ
2181,パーソルホールディングス
2183,リニカル
2185,シイエム・シイ
2186,ソーバル
2193,クックパッド
2195,アミタホールディングス
2196,エスクリ
2198,アイ・ケイ・ケイホールディングス
2201,森永製菓
2204,中村屋
2206,江崎グリコ
2207,ｍｅｉｔｏ
2208,ブルボン
2209,井村屋グループ
2211,不二家
2212,山崎製パン
2215,第一屋製パン
2216,カンロ
2217,モロゾフ
2220,亀田製菓
2221,岩塚製菓
2222,寿スピリッツ
2224,コモ
2226,湖池屋
2229,カルビー
2235,上場インデックスファンド米国株式（ダウ平均）為替ヘッジなし
2236,グローバルＸ　Ｓ＆Ｐ５００配当貴族ＥＴＦ
2237,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００レバレッジ
2238,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００インバース
2239,上場インデックスファンドＳ＆Ｐ５００先物レバレッジ２倍
2240,上場インデックスファンドＳ＆Ｐ５００先物インバース
2241,ＭＡＸＩＳ　ＮＹダウ上場投信
2242,ＭＡＸＩＳ　ＮＹダウ上場投信（為替ヘッジあり）
2243,グローバルＸ　半導体　ＥＴＦ
2244,グローバルＸ　ＵＳ　テック・トップ２０　ＥＴＦ
2245,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ・ドイツ国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信
2246,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ・フランス国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信
2247,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００（為替ヘッジなし）
2248,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００（為替ヘッジあり）
2249,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００ダブルインバース
2250,ｉシェアーズ　ＭＳＣＩ　ジャパン気候変動アクション　ＥＴＦ
2251,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ国債先物ダブルインバース指数連動型上場投信
2252,グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　米国中小型　Ｍｏａｔ　ＥＴＦ
2253,グローバルＸ　スーパーディビィデンド－ＵＳ　ＥＴＦ
2254,グローバルＸ　チャイナＥＶ＆バッテリー　ＥＴＦ
2255,ｉシェアーズ　米国債２０年超　ＥＴＦ
2256,ｉシェアーズ　米国総合債券　ＥＴＦ
2257,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ
2258,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ
2259,ｉシェアーズ　フランス国債７－１０年　ＥＴＦ（為替ヘッジあり）
2264,森永乳業
2266,六甲バター
2267,ヤクルト本社
2268,Ｂ－Ｒ　サーティワン　アイスクリーム
2269,明治ホールディングス
2270,雪印メグミルク
2281,プリマハム
2282,日本ハム
2286,林兼産業
2288,丸大食品
2291,福留ハム
2292,Ｓ　Ｆｏｏｄｓ
2293,滝沢ハム
2294,柿安本店
2296,伊藤ハム米久ホールディングス
2300,きょくとう
2301,学情
2303,ドーン
2304,ＣＳＳホールディングス
2305,スタジオアリス
2307,クロスキャット
2311,エプコ
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ
2317,システナ
2321,ソフトフロントホールディングス
2323,ｆｏｎｆｕｎ
2325,ＮＪＳ
2326,デジタルアーツ
2327,日鉄ソリューションズ
2329,東北新社
2330,フォーサイド
2331,ＡＬＳＯＫ
2332,クエスト
2334,イオレ
2335,キューブシステム
2337,いちご
2338,クオンタムソリューションズ
2340,極楽湯ホールディングス
2341,アルバイトタイムス
2342,トランスジェニックグループ
2344,平安レイサービス
2345,クシム
2349,エヌアイデイ
2351,ＡＳＪ
2353,日本駐車場開発
2354,ＹＥ　ＤＩＧＩＴＡＬ
2359,コア
2370,メディネット
2371,カカクコム
2373,ケア２１
2374,セントケア・ホールディング
2375,ギグワークス
2376,サイネックス
2378,ルネサンス
2379,ディップ
2384,ＳＢＳホールディングス
2385,総医研ホールディングス
2388,ウェッジホールディングス
2389,デジタルホールディングス
2391,プラネット
2393,日本ケアサプライ
2395,新日本科学
2404,鉄人化ホールディングス
2408,ＫＧ情報
2410,キャリアデザインセンター
2411,ゲンダイエージェンシー
2413,エムスリー
2415,ヒューマンホールディングス
2418,ツカダ・グローバルホールディング
2424,ブラス
2425,ケアサービス
2428,ウェルネット
2429,ワールドホールディングス
2432,ディー・エヌ・エー
2433,博報堂ＤＹホールディングス
2435,シダー
2436,共同ピーアール
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ
2438,アスカネット
2440,ぐるなび
2445,タカミヤ
2449,プラップジャパン
2452,コンピュータマインド
2454,オールアバウト
2459,アウンコンサルティング
2461,ファンコミュニケーションズ
2462,ライク
2464,Ａｏｂａ‐ＢＢＴ
2469,ヒビノ
2471,エスプール
2475,ＷＤＢホールディングス
2477,手間いらず
2479,ジェイテック
2480,システム・ロケーション
2481,タウンニュース社
2483,翻訳センター
2484,出前館
2485,ティア
2488,ＪＴＰ
2489,アドウェイズ
2491,バリューコマース
2492,インフォマート
2493,イーサポートリンク
2497,ユナイテッド
2498,オリエンタルコンサルタンツホールディングス
2499,日本和装ホールディングス
2501,サッポロホールディングス
2502,アサヒグループホールディングス
2503,キリンホールディングス
2510,ＮＥＸＴ　ＦＵＮＤＳ　国内債券・ＮＯＭＵＲＡ－ＢＰＩ総合連動型上場投信
2511,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジなし）連動型上場投信
2512,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジあり）連動型上場投信
2513,ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジなし）連動型上場投信
2514,ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジあり）連動型上場投信
2515,ＮＥＸＴ　ＦＵＮＤＳ　外国ＲＥＩＴ・Ｓ＆Ｐ先進国ＲＥＩＴ指数（除く日本・為替ヘッジなし）連動型上場投信
2516,東証グロース２５０ＥＴＦ
2517,ＭＡＸＩＳ　Ｊリート・コア上場投信
2518,ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩ日本株女性活躍指数（セレクト）連動型上場投信
2519,ＮＥＸＴ　ＦＵＮＤＳ　新興国債券・Ｊ．Ｐ．モルガン・エマージング・マーケット・ボンド・インデックス・プラス（為替ヘッジなし）連動型上場投信
2520,ＮＥＸＴ　ＦＵＮＤＳ　新興国株式・ＭＳＣＩエマージング・マーケット・インデックス（為替ヘッジなし）連動型上場投信
2521,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）為替ヘッジあり
2522,ｉシェアーズ　オートメーション　＆　ロボット　ＥＴＦ
2523,ＭＡＸＩＳトピックス（除く金融）上場投信
2524,ＮＺＡＭ　上場投信　ＴＯＰＩＸ
2525,ＮＺＡＭ　上場投信　日経２２５
2526,ＮＺＡＭ　上場投信　ＪＰＸ日経４００
2527,ＮＺＡＭ　上場投信　東証ＲＥＩＴ　Ｃｏｒｅ指数
2528,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ　Ｃｏｒｅ指数
2529,ＮＥＸＴ　ＦＵＮＤＳ　野村株主還元７０連動型上場投信
2530,ＭＡＸＩＳ　ＨｕａＡｎ中国株式（上海１８０Ａ株）上場投信
2531,宝ホールディングス
2533,オエノンホールディングス
2540,養命酒製造
2552,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型（ミニ）
2553,Ｏｎｅ　ＥＴＦ　南方　中国Ａ株　ＣＳＩ５００
2554,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国投資適格社債（１－１０年）インデックス（為替ヘッジあり）連動型上場投信
2555,東証ＲＥＩＴ　ＥＴＦ
2556,Ｏｎｅ　ＥＴＦ　東証ＲＥＩＴ指数
2557,ＳＭＤＡＭ　トピックス上場投信
2558,ＭＡＸＩＳ米国株式（Ｓ＆Ｐ５００）上場投信
2559,ＭＡＸＩＳ全世界株式（オール・カントリー）上場投信
2560,ＭＡＸＩＳカーボン・エフィシェント日本株上場投信
2561,ｉシェアーズ・コア　日本国債　ＥＴＦ
2562,上場インデックスファンド米国株式（ダウ平均）為替ヘッジあり
2563,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ（為替ヘッジあり）
2564,グローバルＸ　ＭＳＣＩスーパーディビィデンド－日本株式　ＥＴＦ
2565,グローバルＸ　ロジスティクス・Ｊ－ＲＥＩＴ　ＥＴＦ
2566,上場インデックスファンド日経ＥＳＧリート
2567,ＮＺＡＭ　上場投信　Ｓ＆Ｐ／ＪＰＸカーボン・エフィシェント指数
2568,上場インデックスファンド米国株式（ＮＡＳＤＡＱ１００）為替ヘッジなし
2569,上場インデックスファンド米国株式（ＮＡＳＤＡＱ１００）為替ヘッジあり
2573,北海道コカ・コーラボトリング
2579,コカ・コーラ　ボトラーズジャパンホールディングス
2585,ライフドリンク　カンパニー
2586,フルッタフルッタ
2587,サントリー食品インターナショナル
2588,プレミアムウォーターホールディングス
2590,ダイドーグループホールディングス
2593,伊藤園
2594,キーコーヒー
2597,ユニカフェ
2602,日清オイリオグループ
2607,不二製油
2612,かどや製油
2613,Ｊ－オイルミルズ
2620,ｉシェアーズ　米国債１－３年　ＥＴＦ
2621,ｉシェアーズ　米国債２０年超　ＥＴＦ（為替ヘッジあり）
2622,ｉシェアーズ　米ドル建て新興国債券　ＥＴＦ（為替ヘッジあり）
2623,ｉシェアーズ　ユーロ建て投資適格社債　ＥＴＦ（為替ヘッジあり）
2624,ｉＦｒｅｅＥＴＦ　日経２２５（年４回決算型）
2625,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年４回決算型）
2626,グローバルＸ　デジタル・イノベーション－日本株式　ＥＴＦ
2627,グローバルＸ　ｅコマース－日本株式　ＥＴＦ
2628,ｉＦｒｅｅＥＴＦ　中国科創板５０（ＳＴＡＲ５０）
2629,ｉＦｒｅｅＥＴＦ　中国グレーターベイエリア・イノベーション１００（ＧＢＡ１００）
2630,ＭＡＸＩＳ米国株式（Ｓ＆Ｐ５００）上場投信（為替ヘッジあり）
2631,ＭＡＸＩＳナスダック１００上場投信
2632,ＭＡＸＩＳナスダック１００上場投信（為替ヘッジあり）
2633,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジなし）連動型上場投信
2634,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジあり）連動型上場投信
2635,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００スコアリング＆スクリーニング指数連動型上場投信
2636,グローバルＸ　ＭＳＣＩ　ガバナンス・クオリティ－日本株式　ＥＴＦ
2637,グローバルＸ　クリーンテック－日本株式　ＥＴＦ
2638,グローバルＸ　ロボティクス＆ＡＩ－日本株式　ＥＴＦ
2639,グローバルＸ　バイオ＆メドテック－日本株式　ＥＴＦ
2640,グローバルＸ　ゲーム＆アニメ－日本株式　ＥＴＦ
2641,グローバルＸ　グローバルリーダーズ－日本株式　ＥＴＦ
2642,ＳＭＴ　ＥＴＦカーボン・エフィシェント日本株
2643,ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩジャパンカントリー指数（セレクト）連動型上場投信
2644,グローバルＸ　半導体関連－日本株式　ＥＴＦ
2645,グローバルＸ　レジャー＆エンターテインメント－日本株式　ＥＴＦ
2646,グローバルＸ　メタルビジネス－日本株式　ＥＴＦ
2647,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国国債（７－１０年）インデックス（為替ヘッジなし）連動型上場投信
2648,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信
2649,ｉシェアーズ　米国政府系機関ジニーメイＭＢＳ　ＥＴＦ（為替ヘッジあり）
2652,まんだらけ
2653,イオン九州
2654,アスモ
2656,ベクターホールディングス
2659,サンエー
2664,カワチ薬品
2666,オートウェーブ
2667,イメージ　ワン
2668,タビオ
2669,カネ美食品
2670,エービーシー・マート
2673,夢みつけ隊
2674,ハードオフコーポレーション
2676,高千穂交易
2678,アスクル
2681,ゲオホールディングス
2683,魚喜
2685,アンドエスティＨＤ
2686,ジーフット
2687,シー・ヴイ・エス・ベイエリア
2689,オルバヘルスケアホールディングス
2692,伊藤忠食品
2693,ＹＫＴ
2694,焼肉坂井ホールディングス
2695,くら寿司
2698,キャンドゥ
2700,木徳神糧
2702,日本マクドナルドホールディングス
2705,大戸屋ホールディングス
2708,久世
2721,ジェイホールディングス
2722,ＩＫホールディングス
2726,パルグループホールディングス
2730,エディオン
2733,あらた
2734,サーラコーポレーション
2735,ワッツ
2736,フェスタリアホールディングス
2737,トーメンデバイス
2742,ハローズ
2743,ピクセルカンパニーズ
2747,北雄ラッキー
2749,ＪＰホールディングス
2750,石光商事
2751,テンポスホールディングス
2752,フジオフードグループ本社
2753,あみやき亭
2760,東京エレクトロン　デバイス
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ
2763,エフティグループ
2764,ひらまつ
2767,円谷フィールズホールディングス
2768,双日
2769,ヴィレッジヴァンガードコーポレーション
2776,新都ホールディングス
2778,パレモ・ホールディングス
2780,コメ兵ホールディングス
2782,セリア
2784,アルフレッサ　ホールディングス
2788,アップルインターナショナル
2789,カルラ
2790,ナフコ
2791,大黒天物産
2792,ハニーズホールディングス
2795,日本プリメックス
2796,ファーマライズホールディングス
2798,ワイズテーブルコーポレーション
2801,キッコーマン
2802,味の素
2804,ブルドックソース
2805,ヱスビー食品
2806,ユタカフーズ
2809,キユーピー
2810,ハウス食品グループ本社
2811,カゴメ
2813,和弘食品
2814,佐藤食品工業
2815,アリアケジャパン
2816,ダイショー
2818,ピエトロ
2819,エバラ食品工業
2820,やまみ
2830,アヲハタ
2831,はごろもフーズ
2836,グローバルＸ　フィンテック－日本株式　ＥＴＦ
2837,グローバルＸ　中小型リーダーズ－日本株式　ＥＴＦ
2838,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジなし）
2839,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジあり）
2840,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジなし）
2841,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジあり）
2842,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００インバース
2843,上場インデックスファンド豪州国債（為替ヘッジあり）
2844,上場インデックスファンド豪州国債（為替ヘッジなし）
2845,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジあり）連動型上場投信
2846,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジあり）連動型上場投信
2847,グローバルＸ　新成長インフラ－日本株式　ＥＴＦ
2848,グローバルＸ　ＭＳＣＩ　気候変動対応－日本株式　ＥＴＦ
2849,グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　高配当　ＥＳＧ－日本株式　ＥＴＦ
2851,ｉシェアーズ　ＭＳＣＩ　ジャパンＳＲＩ　ＥＴＦ
2852,ｉシェアーズ　グリーンＪリート　ＥＴＦ
2853,ｉシェアーズ　気候リスク調整世界国債　ＥＴＦ（除く日本・為替ヘッジあり）
2854,グローバルＸ　テック・トップ２０－日本株式　ＥＴＦ
2855,グローバルＸ　グリーン・Ｊ－ＲＥＩＴ　ＥＴＦ
2856,ｉシェアーズ　米国債３－７年　ＥＴＦ（為替ヘッジあり）
2857,ｉシェアーズ　ドイツ国債　ＥＴＦ（為替ヘッジあり）
2858,グローバルＸ　日経２２５　カバード・コール　ＥＴＦ（プレミアム再投資型）
2859,ＮＥＸＴ　ＦＵＮＤＳ　ユーロ・ストックス５０指数（為替ヘッジあり）連動型上場投信
2860,ＮＥＸＴ　ＦＵＮＤＳ　ドイツ株式・ＤＡＸ（為替ヘッジあり）連動型上場投信
2861,上場インデックスファンドフランス国債（為替ヘッジなし）
2862,上場インデックスファンドフランス国債（為替ヘッジあり）
2863,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ米国株式・債券バランス保守型指数（為替ヘッジあり）連動型上場投信
2864,グローバルＸ　ロジスティクス・ＲＥＩＴ　ＥＴＦ
2865,グローバルＸ　ＮＡＳＤＡＱ１００・カバード・コール　ＥＴＦ
2866,グローバルＸ　米国優先証券　ＥＴＦ
2867,グローバルＸ　自動運転＆ＥＶ　ＥＴＦ
2868,グローバルＸ　Ｓ＆Ｐ５００・カバード・コール　ＥＴＦ
2869,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００レバレッジ
2870,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００ダブルインバース
2871,ニチレイ
2872,セイヒョー
2874,横浜冷凍
2875,東洋水産
2876,デルソーレ
2877,日東ベスト
2882,イートアンドホールディングス
2883,大冷
2884,ヨシムラ・フード・ホールディングス
2892,日本食品化工
2894,石井食品
2897,日清食品ホールディングス
2901,ウェルディッシュ
2903,シノブフーズ
2904,一正蒲鉾
2907,あじかん
2908,フジッコ
2910,ロック・フィールド
2911,旭松食品
2914,日本たばこ産業
2915,ケンコーマヨネーズ
2916,仙波糖化工業
2917,大森屋
2918,わらべや日洋ホールディングス
2922,なとり
2923,サトウ食品
2924,イフジ産業
2926,篠崎屋
2927,ＡＦＣ－ＨＤアムスライフサイエンス
2929,ファーマフーズ
2930,北の達人コーポレーション
2931,ユーグレナ
2932,ＳＴＩフードホールディングス
2933,紀文食品
2934,ジェイフロンティア
2935,ピックルスホールディングス
2936,ベースフード
2937,サンクゼール
2938,オカムラ食品工業
2961,日本調理機
2962,テクニスコ
2970,グッドライフカンパニー
2971,エスコンジャパンリート投資法人
2972,サンケイリアルエステート投資法人
2975,スター・マイカ・ホールディングス
2978,ツクルバ
2979,ＳＯＳｉＬＡ物流リート投資法人
2980,ＳＲＥホールディングス
2981,ランディックス
2982,ＡＤワークスグループ
2983,アールプランナー
2984,ヤマイチエステート
2985,ファーストステージ
2986,ＬＡホールディングス
2989,東海道リート投資法人
2990,アイダ設計
2991,ランドネット
2992,アーバンライク
2993,長栄
2994,アンサーホールディングス
2995,ジェイレックス・コーポレーション
2997,ストレージ王
2998,クリアル
2999,ホームポジション
3001,片倉工業
3002,グンゼ
3003,ヒューリック
3004,神栄
3010,ポラリス・ホールディングス
3011,バナーズ
3020,アプライド
3021,パシフィックネット
3023,ラサ商事
3024,クリエイト
3028,アルペン
3030,ハブ
3031,ラクーンホールディングス
3034,クオールホールディングス
3035,ケイティケイ
3036,アルコニックス
3038,神戸物産
3040,ソリトンシステムズ
3041,ビューティカダンホールディングス
3042,セキュアヴェイル
3045,カワサキ
3046,ジンズホールディングス
3048,ビックカメラ
3050,ＤＣＭホールディングス
3053,ペッパーフードサービス
3054,ハイパー
3058,三洋堂ホールディングス
3059,ヒラキ
3063,ジェイグループホールディングス
3064,ＭｏｎｏｔａＲＯ
3065,ライフフーズ
3067,東京一番フーズ
3068,ＷＤＩ
3069,ＪＦＬＡホールディングス
3070,ジェリービーンズグループ
3071,ストリーム
3073,ＤＤグループ
3075,銚子丸
3076,あい　ホールディングス
3077,ホリイフードサービス
3079,ディーブイエックス
3080,ジェーソン
3082,きちりホールディングス
3083,スターシーズ
3086,Ｊ．フロント　リテイリング
3087,ドトール・日レスホールディングス
3088,マツキヨココカラ＆カンパニー
3089,テクノアルファ
3091,ブロンコビリー
3092,ＺＯＺＯ
3093,トレジャー・ファクトリー
3094,スーパーバリュー
3096,オーシャンシステム
3097,物語コーポレーション
3099,三越伊勢丹ホールディングス
3101,東洋紡
3103,ユニチカ
3104,富士紡ホールディングス
3105,日清紡ホールディングス
3106,倉敷紡績
3107,ダイワボウホールディングス
3109,シキボウ
3110,日東紡績
3111,オーミケンシ
3113,ＵＮＩＶＡ・Ｏａｋホールディングス
3116,トヨタ紡織
3121,マーチャント・バンカーズ
3123,サイボー
3131,シンデン・ハイテックス
3132,マクニカホールディングス
3133,海帆
3134,Ｈａｍｅｅ
3135,マーケットエンタープライズ
3137,ファンデリー
3138,富士山マガジンサービス
3139,ラクト・ジャパン
3140,ＢＲＵＮＯ
3141,ウエルシアホールディングス
3143,オーウイル
3148,クリエイトＳＤホールディングス
3150,グリムス
3151,バイタルケーエスケー・ホールディングス
3153,八洲電機
3154,メディアスホールディングス
3156,レスター
3157,ジオリーブグループ
3159,丸善ＣＨＩホールディングス
3160,大光
3161,アゼアス
3166,ＯＣＨＩホールディングス
3167,ＴＯＫＡＩホールディングス
3168,ＭＥＲＦ
3169,ミサワ
3172,ティーライフ
3173,Ｃｏｍｉｎｉｘ
3174,ハピネス・アンド・ディ
3175,エー・ピーホールディングス
3176,三洋貿易
3177,ありがとうサービス
3178,チムニー
3179,シュッピン
3180,ビューティガレージ
3181,買取王国
3182,オイシックス・ラ・大地
3183,ウイン・パートナーズ
3184,ＩＣＤＡホールディングス
3185,夢展望
3186,ネクステージ
3187,ミラタップ
3189,ＡＮＡＰホールディングス
3190,ホットマン
3191,ジョイフル本田
3192,白鳩
3193,エターナルホスピタリティグループ
3195,ジェネレーションパス
3196,ホットランドホールディングス
3197,すかいらーくホールディングス
3198,ＳＦＰホールディングス
3199,綿半ホールディングス
3201,日本毛織
3202,ダイトウボウ
3204,トーア紡コーポレーション
3205,ダイドーリミテッド
3221,ヨシックスホールディングス
3222,ユナイテッド・スーパーマーケット・ホールディングス
3223,エスエルディー
3224,ゼネラル・オイスター
3226,三井不動産アコモデーションファンド投資法人
3231,野村不動産ホールディングス
3232,三重交通グループホールディングス
3234,森ヒルズリート投資法人
3236,プロパスト
3237,イントランス
3238,セントラル総合開発
3241,ウィル
3242,アーバネットコーポレーション
3245,ディア・ライフ
3246,コーセーアールイー
3248,アールエイジ
3249,産業ファンド投資法人
3252,地主
3261,グランディーズ
3266,ファンドクリエーショングループ
3267,フィル・カンパニー
3269,アドバンス・レジデンス投資法人
3271,ＴＨＥグローバル社
3276,ＪＰＭＣ
3277,サンセイランディック
3279,アクティビア・プロパティーズ投資法人
3280,エストラスト
3281,ＧＬＰ投資法人
3282,コンフォリア・レジデンシャル投資法人
3283,日本プロロジスリート投資法人
3284,フージャースホールディングス
3286,トラストホールディングス
3287,星野リゾート・リート投資法人
3288,オープンハウスグループ
3289,東急不動産ホールディングス
3290,Ｏｎｅリート投資法人
3291,飯田グループホールディングス
3292,イオンリート投資法人
3293,アズマハウス
3294,イーグランド
3295,ヒューリックリート投資法人
3296,日本リート投資法人
3297,東武住販
3299,ムゲンエステート
3300,アンビション　ＤＸ　ホールディングス
3302,帝国繊維
3306,日本製麻
3309,積水ハウス・リート投資法人
3315,日本コークス工業
3317,フライングガーデン
3320,クロスプラス
3321,ミタチ産業
3323,レカム
3326,ランシステム
3329,東和フードサービス
3333,あさひ
3341,日本調剤
3349,コスモス薬品
3350,メタプラネット
3352,バッファロー
